epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
56,959.861,0.93158,0.26355,1.46569,0.02662,0.1808,0.80916,0.7619,0.8871,0.62515,0.80916,0.7619,0.87685,0.81664,1.1641,0.90792,0.85331,0.04357,0,0.00113922,0.00113922,0.00113922
57,976.168,0.86972,0.33046,1.45457,0.02154,0.23397,0.81945,0.85714,0.90717,0.7342,0.81945,0.85714,0.90717,0.8397,0.91302,0.76333,0.72412,0.02909,0,0.00111348,0.00111348,0.00111348
58,993.446,0.89945,0.26183,1.36204,0.02536,0.14563,0.90383,0.8954,0.94965,0.76181,0.90383,0.8954,0.94965,0.8958,0.76081,0.72576,0.64561,0.02576,0,0.00108767,0.00108767,0.00108767
59,1010.32,0.84192,0.28047,1.21425,0.02198,0.14221,0.80306,0.85714,0.9224,0.76553,0.80306,0.85714,0.9224,0.87705,0.74883,0.69696,0.63982,0.02556,0,0.00106181,0.00106181,0.00106181
60,1026.79,0.76329,0.23845,1.17291,0.0207,0.18724,0.89183,0.90476,0.93946,0.76767,0.89183,0.90476,0.93946,0.89205,0.80089,0.52846,0.67018,0.02752,0,0.00103592,0.00103592,0.00103592
61,1043.65,0.73062,0.24779,1.24715,0.02164,0.14092,0.90613,0.91985,0.96255,0.77753,0.90613,0.91985,0.96255,0.89746,0.79826,0.46316,0.54065,0.02684,0,0.00101,0.00101,0.00101
62,1061.06,0.80339,0.3206,1.14383,0.02219,0.42422,0.90141,0.80952,0.93309,0.73198,0.90141,0.80952,0.93309,0.858,0.86623,0.44887,0.67221,0.02988,0,0.000984085,0.000984085,0.000984085
63,1078.23,0.80989,0.26826,1.06656,0.02189,0.14476,0.92281,0.7619,0.90973,0.7358,0.92281,0.7619,0.90973,0.79504,0.74805,0.48134,0.67687,0.02423,0,0.000958187,0.000958187,0.000958187
64,1094.32,0.73184,0.21976,1.10327,0.01987,0.11424,0.83885,0.74423,0.86694,0.69169,0.83885,0.74423,0.86694,0.77273,0.84766,0.48522,0.66942,0.02798,0,0.000932325,0.000932325,0.000932325
65,1110.27,0.75619,0.23837,0.99416,0.01944,0.12536,0.74982,0.85637,0.88452,0.67366,0.74982,0.85637,0.88452,0.83425,0.96503,0.51787,0.6615,0.03402,0,0.000906517,0.000906517,0.000906517
66,1126.94,0.71953,0.25085,1.07398,0.01982,0.14668,0.94439,0.80866,0.93699,0.72756,0.94439,0.80866,0.93699,0.86394,0.94817,0.52123,0.56331,0.03118,0,0.000880779,0.000880779,0.000880779
67,1143.81,0.74227,0.26655,1.0272,0.01941,0.12016,0.72271,0.86915,0.90121,0.68394,0.72271,0.86915,0.90121,0.81627,0.98249,0.54479,0.60464,0.03298,0,0.00085513,0.00085513,0.00085513
