epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,1097.42,0.33623,0.58764,0.87729,0.5483,0.80938,0.58783,0.54494,0.38439,1.01153,0.90572,0.0004028,0.0004028,0.0004028
123,1106.34,0.35073,0.60851,0.88634,0.59011,0.76667,0.62095,0.5708,0.4211,0.9768,0.93688,0.0003896,0.0003896,0.0003896
124,1115.21,0.32075,0.68058,0.84647,0.52084,0.83336,0.59018,0.54135,0.41949,1.04284,0.92583,0.0003764,0.0003764,0.0003764
125,1124.14,0.34613,0.58956,0.89286,0.55231,0.86365,0.59242,0.54502,0.38345,1.14856,0.90583,0.0003632,0.0003632,0.0003632
126,1133.1,0.3331,0.65132,0.87309,0.51374,0.88058,0.60124,0.55585,0.38854,1.14613,0.91146,0.00035,0.00035,0.00035
127,1142.03,0.37254,0.73765,0.90146,0.61323,0.66667,0.62061,0.5661,0.46081,1.09955,0.96793,0.0003368,0.0003368,0.0003368
128,1150.91,0.32654,0.66197,0.85285,0.68165,0.6,0.59153,0.54142,0.44116,1.18228,0.95547,0.0003236,0.0003236,0.0003236
129,1159.94,0.33731,0.61199,0.87823,0.6509,0.68393,0.6444,0.59865,0.39165,0.93716,0.91009,0.0003104,0.0003104,0.0003104
130,1168.82,0.32564,0.67213,0.87701,0.57691,0.86667,0.64432,0.60016,0.38502,0.93803,0.90949,0.0002972,0.0002972,0.0002972
131,1177.73,0.3071,0.69036,0.84909,0.55261,0.83333,0.67992,0.62733,0.38689,0.90466,0.92198,0.000284,0.000284,0.000284
132,1186.64,0.32225,0.57011,0.86557,0.55727,0.8,0.70351,0.6545,0.37709,0.95937,0.91697,0.0002708,0.0002708,0.0002708
133,1195.7,0.32433,0.56917,0.83525,0.58418,0.76667,0.65276,0.60542,0.37579,1.03891,0.91578,0.0002576,0.0002576,0.0002576
134,1204.63,0.33463,0.59889,0.87932,0.61975,0.76074,0.6358,0.58174,0.38945,1.11035,0.93085,0.0002444,0.0002444,0.0002444
135,1213.56,0.30715,0.5859,0.87687,0.55751,0.88214,0.64429,0.5902,0.40087,1.05698,0.94269,0.0002312,0.0002312,0.0002312
136,1222.54,0.33893,0.62385,0.86744,0.57537,0.9,0.67255,0.61215,0.41147,1.03997,0.93762,0.000218,0.000218,0.000218
137,1231.5,0.32621,0.55583,0.89526,0.57387,0.9,0.66603,0.61119,0.38316,1.02889,0.92265,0.0002048,0.0002048,0.0002048
138,1240.38,0.32769,0.53047,0.86551,0.53287,0.9,0.64967,0.59504,0.37653,1.06235,0.92347,0.0001916,0.0001916,0.0001916
139,1249.33,0.30259,0.48809,0.85769,0.5445,0.83685,0.65656,0.60308,0.3836,1.08609,0.93065,0.0001784,0.0001784,0.0001784
140,1258.26,0.31246,0.6853,0.84122,0.5666,0.86667,0.6683,0.61347,0.38487,1.04321,0.9249,0.0001652,0.0001652,0.0001652
141,1268.65,0.30951,0.68912,0.84899,0.56557,0.9,0.66761,0.61221,0.40126,0.98923,0.92753,0.000152,0.000152,0.000152
142,1277.58,0.32801,0.51777,0.86366,0.67699,0.66667,0.68488,0.62496,0.41636,0.98303,0.93731,0.0001388,0.0001388,0.0001388
143,1286.47,0.30827,0.84989,0.84751,0.54865,0.83333,0.68331,0.62442,0.4034,0.9909,0.94398,0.0001256,0.0001256,0.0001256
144,1295.34,0.32501,0.46285,0.8611,0.52756,0.86667,0.67435,0.61575,0.40052,0.98259,0.9385,0.0001124,0.0001124,0.0001124
145,1304.65,0.32865,0.54971,0.87917,0.58123,0.8,0.69749,0.64193,0.39307,0.97895,0.93115,9.92e-05,9.92e-05,9.92e-05
146,1313.53,0.30549,0.50712,0.86406,0.5705,0.76667,0.66852,0.61737,0.38835,1.06707,0.92783,8.6e-05,8.6e-05,8.6e-05
147,1322.41,0.31109,0.46446,0.84817,0.53117,0.73333,0.62388,0.57684,0.38389,1.17019,0.92128,7.28e-05,7.28e-05,7.28e-05
148,1331.35,0.2898,0.52633,0.82589,0.56012,0.80658,0.66606,0.61366,0.38888,1.00009,0.92716,5.96e-05,5.96e-05,5.96e-05
149,1340.2,0.27741,0.54068,0.84063,0.59676,0.76667,0.68622,0.62495,0.39122,0.94547,0.93024,4.64e-05,4.64e-05,4.64e-05
150,1349.08,0.27644,0.5223,0.82911,0.59929,0.76667,0.68534,0.62694,0.3944,0.94585,0.93319,3.32e-05,3.32e-05,3.32e-05
